City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tazovsky,67.4667,78.7,6.69,99,63,5.84,RU,1715969985
84,hawaiian paradise park,19.5933,-154.9731,75.04,93,100,5.01,US,1715969985
85,oranjemund,-28.55,16.4333,59.27,82,47,7.81,NA,1715969985
86,hermanus,-34.4187,19.2345,62.8,89,98,5.7,ZA,1715969985
87,edinburgh of the seven seas,-37.0676,-12.3116,62.28,86,90,31.97,SH,1715969985
88,olonkinbyen,70.9221,-8.7187,27.41,93,88,17.85,SJ,1715969985
89,ilulissat,69.2167,-51.1,28.42,46,40,2.3,GL,1715969985
90,thompson,55.7435,-97.8558,57.36,67,75,8.05,CA,1715969986
91,ribeira grande,38.5167,-28.7,66.6,59,20,10.36,PT,1715969986
92,geraldton,-28.7667,114.6,73.81,33,0,24.16,AU,1715969986
93,atherton,53.5237,-2.4935,69.06,73,100,3.0,GB,1715969986
94,zouerate,22.7187,-12.4521,88.88,14,0,9.24,MR,1715969986
95,sarangani,5.4033,125.4636,84.18,76,100,15.55,PH,1715969986
96,timimoun,29.2639,0.231,95.38,28,40,23.02,DZ,1715969986
97,port elizabeth,-33.918,25.5701,65.1,90,0,14.97,ZA,1715969729
98,lompoc,34.6391,-120.4579,68.77,74,100,9.22,US,1715969986
99,mawlamyinegyunn,16.3833,95.2667,86.65,72,99,6.96,MM,1715969836
100,flying fish cove,-10.4217,105.6791,80.28,89,100,10.36,CX,1715969720
101,isangel,-19.55,169.2667,73.51,94,75,0.0,VU,1715969986
102,papatowai,-46.5619,169.4708,44.35,95,74,11.14,NZ,1715969986
103,acarau,-2.8856,-40.12,82.94,79,100,14.72,BR,1715969986
104,kerikeri,-35.2268,173.9474,43.92,93,2,4.7,NZ,1715969986
105,kudat,6.8837,116.8477,78.73,94,98,0.0,MY,1715969986
106,bekalta,35.6174,10.9947,71.62,73,100,12.08,TN,1715969986
107,college,64.8569,-147.8028,54.46,54,75,1.01,US,1715969986
108,kangding,30.0513,101.9603,47.77,95,99,5.84,CN,1715969986
109,toliara,-23.35,43.6667,78.82,73,1,13.22,MG,1715969986
110,kataba,13.9833,44.3833,69.15,72,72,4.7,YE,1715969986
111,greymouth,-42.4667,171.2,41.05,91,49,5.46,NZ,1715969986
112,callao,-12.0667,-77.15,68.29,88,40,6.91,PE,1715969822
113,benghazi,32.1167,20.0667,85.35,32,100,6.46,LY,1715969987
114,utrik,11.2278,169.8474,80.82,79,100,20.49,MH,1715969987
115,prince rupert,54.3161,-130.3201,47.89,78,100,11.5,CA,1715969987
116,saipan,15.1355,145.701,83.1,74,20,13.8,MP,1715969786
117,conceicao do rio verde,-21.8808,-45.0853,80.26,46,0,3.13,BR,1715969987
118,bayanaul,50.7889,75.6956,55.76,53,32,0.94,KZ,1715969987
119,nar'yan-mar,67.6713,53.087,23.11,87,95,10.0,RU,1715969987
120,remire-montjoly,4.9167,-52.2667,86.04,74,100,8.05,GF,1715969987
121,margate,51.3813,1.3862,64.69,68,100,3.27,GB,1715969987
122,antofagasta,-23.65,-70.4,60.08,79,20,11.07,CL,1715969791
123,quellon,-43.1167,-73.6167,51.62,63,4,1.77,CL,1715969721
124,tralee,52.2704,-9.7026,56.91,93,99,6.04,IE,1715969987
125,gannan,47.9147,123.5031,58.71,22,61,15.39,CN,1715969987
126,hamilton,39.1834,-84.5333,71.6,84,40,9.22,US,1715969940
127,puerto ayora,-0.7393,-90.3518,76.96,95,85,4.0,EC,1715969987
128,sheridan,44.8333,-106.9173,79.7,24,0,5.01,US,1715969733
129,bredasdorp,-34.5322,20.0403,56.68,89,100,4.43,ZA,1715969987
130,khulm,36.6974,67.6983,76.84,58,99,9.48,AF,1715969987
131,taos,36.4072,-105.5731,69.21,32,0,7.0,US,1715969782
132,iskateley,67.6803,53.1512,23.02,87,93,10.0,RU,1715969987
133,carnarvon,-24.8667,113.6333,77.2,58,30,9.1,AU,1715969987
134,rabo de peixe,37.8,-25.5833,63.99,99,75,9.22,PT,1715969987
135,tangalle,6.024,80.7911,78.82,92,100,13.18,LK,1715969987
136,fort irwin,35.2627,-116.6848,83.73,23,0,4.61,US,1715969707
137,yarmouth,41.7057,-70.2286,66.96,75,40,15.01,US,1715969869
138,goundam,16.4145,-3.6708,100.56,24,87,14.58,ML,1715969988
139,stanley,54.868,-1.6985,63.28,85,20,8.05,GB,1715969988
140,pangody,65.85,74.4859,10.99,99,35,4.74,RU,1715969988
141,nova sintra,14.8667,-24.7167,75.2,74,23,16.69,CV,1715969988
142,saint-pierre,-21.3393,55.4781,69.48,60,0,8.05,RE,1715969905
143,nuuk,64.1835,-51.7216,36.21,48,20,6.91,GL,1715969880
144,gunjur,13.2019,-16.7339,86.07,58,0,11.5,GM,1715969778
145,ascoli piceno,42.8548,13.5749,68.09,57,19,2.28,IT,1715969988
146,hithadhoo,-0.6,73.0833,82.99,80,100,29.19,MV,1715969988
147,at taj,24.2049,23.2857,86.31,15,1,11.45,LY,1715969988
148,udachny,66.4167,112.4,19.45,89,98,12.68,RU,1715969988
149,timbuktu,16.7735,-3.0074,94.21,33,83,18.03,ML,1715969988
150,longyearbyen,78.2186,15.6401,28.24,64,75,3.44,SJ,1715969988
151,qaqortoq,60.7167,-46.0333,34.2,86,18,5.68,GL,1715969988
152,nogliki,51.8333,143.1667,42.35,70,97,10.0,RU,1715969988
153,ancud,-41.8697,-73.8203,50.49,67,1,4.97,CL,1715969933
154,ar ruways,24.1103,52.7306,88.99,51,0,9.42,AE,1715969988
155,hassi messaoud,31.6804,6.0729,91.26,27,40,4.61,DZ,1715969988
156,eyl,7.9803,49.8164,84.2,79,100,16.49,SO,1715969989
157,essaouira,31.5125,-9.77,71.1,64,31,19.57,MA,1715969989
158,whistler,50.1164,-122.9695,51.55,55,35,4.05,CA,1715969807
159,gereida,11.2811,25.1414,89.74,10,5,8.68,SD,1715969989
160,pauini,-7.7136,-66.9764,91.15,48,53,1.61,BR,1715969989
161,san antonio de pale,-1.4014,5.6325,80.15,88,100,7.49,GQ,1715969989
162,ust-nera,64.5667,143.2,36.0,99,100,4.27,RU,1715969989
163,harstad,68.799,16.5293,61.99,54,44,20.0,NO,1715969989
164,yuzhno-kurilsk,44.0306,145.8556,47.37,98,18,2.64,RU,1715969989
165,beledweyne,4.7358,45.2036,90.72,44,92,10.94,SO,1715969989
166,akureyri,65.6835,-18.0878,46.33,61,75,17.27,IS,1715969989
167,avarua,-21.2078,-159.775,77.05,69,40,11.5,CK,1715969989
168,al bawiti,28.3492,28.8659,88.72,17,0,10.89,EG,1715969989
169,sinop,41.7711,34.8709,46.36,91,99,3.18,TR,1715969989
170,aasiaat,68.7098,-52.8699,24.4,71,11,1.41,GL,1715969989
171,tra mhor,52.1624,-7.1524,63.18,75,83,5.01,IE,1715969989
172,luau,-10.7073,22.2247,66.9,49,3,3.2,AO,1715969989
173,fortuna,40.5982,-124.1573,60.98,87,75,10.36,US,1715969739
174,lyantonde,-0.4031,31.1572,66.7,90,13,5.41,UG,1715969989
175,weno,7.4515,151.8468,80.55,94,75,5.75,FM,1715969989
176,guelmim,28.987,-10.0574,68.34,56,12,18.41,MA,1715969989
177,betio village,1.358,172.9211,80.64,77,89,9.69,KI,1715969989
178,atafu village,-8.5421,-172.5159,82.31,76,100,6.38,TK,1715969990
179,necochea,-38.5473,-58.7368,52.36,59,40,10.38,AR,1715969990
180,tame,6.461,-71.73,90.48,54,25,3.83,CO,1715969990
181,kupang,-10.1667,123.5833,84.78,84,49,9.22,ID,1715969990
182,balabac,7.9868,117.0645,82.26,78,61,5.1,PH,1715969990
183,nabire,-3.3667,135.4833,77.7,91,100,1.77,ID,1715969990
184,mulayjah,27.271,48.4242,89.67,22,0,7.85,SA,1715969990
185,mejit,10.2753,170.8646,81.28,78,97,17.83,MH,1715969990
186,arraial do cabo,-22.9661,-42.0278,93.16,58,0,12.66,BR,1715969990
187,anna regina,7.2644,-58.5077,82.67,77,81,10.78,GY,1715969990
188,mary,37.0,62.5,72.27,56,93,9.15,TM,1715969990
189,dhalie,13.6957,44.7314,71.94,86,32,6.51,YE,1715969990
190,vorgashor,67.5833,63.95,23.81,94,100,8.21,RU,1715969990
191,swakopmund,-22.6833,14.5333,83.25,52,0,3.15,NA,1715969990
192,thief river falls,48.1191,-96.1812,74.35,60,0,10.36,US,1715969980
193,susanville,40.4163,-120.653,76.82,36,0,5.01,US,1715969751
194,pithoro,25.5167,69.3833,95.74,20,2,18.01,PK,1715969990
195,kot ghulam muhammad,32.333,74.548,89.55,17,0,5.66,PK,1715969990
196,ormara,25.2088,64.6357,84.2,78,0,16.4,PK,1715969990
197,haiku-pauwela,20.9219,-156.3051,80.04,77,20,6.91,US,1715969990
198,makinsk,52.6292,70.4169,57.24,71,98,3.56,KZ,1715969990
199,kanniyakumari,8.0833,77.5667,80.53,86,100,7.45,IN,1715969990
200,santiago del torno,-17.9833,-63.3833,60.98,67,100,4.27,BO,1715969990
201,xilin hot,43.9667,116.0333,55.35,58,100,13.31,CN,1715969991
202,kudahuvadhoo,2.6708,72.8944,84.58,77,100,25.72,MV,1715969991
203,punta arenas,-53.15,-70.9167,48.31,61,75,18.41,CL,1715969856
204,severobaykal'sk,55.65,109.3167,34.5,62,54,3.91,RU,1715969991
205,tiksi,71.6872,128.8694,20.61,96,100,14.03,RU,1715969991
206,clarksville,36.5298,-87.3595,74.64,76,75,11.5,US,1715969991
207,san patricio,28.017,-97.5169,73.35,75,98,17.58,US,1715969991
208,las trojes,14.0667,-85.9833,89.8,45,100,6.98,HN,1715969991
209,santo antonio,-6.3106,-35.4789,82.06,77,80,9.98,BR,1715969825
210,kapuskasing,49.4169,-82.4331,66.2,63,75,13.8,CA,1715969991
211,port alfred,-33.5906,26.891,59.22,92,49,8.75,ZA,1715969991
